Username	Name	Match? Y/N																							
Tristan1369	Jordan  Hines	1																							
catherinevandeh	Catherine Ann	0																							
EveShead	Eve Shead	0																							
mschreiweis66	Michael Schreiweis	1																							
Shawtypepelina	n/a	0																							
jeanniejinjin	JJ	0																							
HPB57	EX Dem from Ohio	0																							
MyInfojoeybray1	Deplorable patriot	1																							
Boyd_2650	Diane Boyd	0																							
scroarty	Sharon Lee	0																							
DonnaPeterson4	n/a	0																							
IAH737driver	n/a	1																							
dawnz01	Dawn Starz	0																							
gringaloca11	victoria jenkins																								
LexCalifornia	Alex Casey																								
anbarber1980	Adam N Barber																								
Lessie1962	n/a																								
GiiMarias	gii marias																								
KDScioscia	Karen D. Scioscia																								
RightSassy	n/a	0																							
DuffiF	Duffi Lee Frazier	1																							
TheRealPopeyeO	Robert Olmstead	1																							
tmj_ks_vets	KS Veteran Jobs	0																							
EnergizeVets	Mike Wms	1																							
ValorOf1776	Wilhelm Von R”mer	1																							
Pat_Donnachie	Pat Donnachie	1																							
BethanyJuno	n/a	1																							
Red_Baron63	n/a	0																							
OldManStoneZone	n/a	1																							
JEHutton	James Hutton	1																							
s_gd_usa	S GD	0																							
glolara	Gloco	1																							
WarriorofGod97	n/a	0																							
TCuccio	n/a	0																							
APTT45Babe	n/a	0																							
Ancientbob	Bob Foss	1																							
aligiarc	giarca	0																							
TurnKyBlue	Turn Ky Blue	1																							
GreatLaker1066	David	0																							
216Zealot	Oh_216Zealot_iO	1																							
HVeteran03	HerbaVeteran03	1																							
Sapper864	'Mack' McKie	1																							
SonieNcmrs	SonieNCmrs	0		Maybe have qualifiers to prevent this type of match																					
ElizaLynnArroy1	Eliza Lynn	0		TEST FOR FAMILY MEMBERS																					
MaryVi2020	Marivi2020	0																							
tmj_phl_vets	Phl Veteran Jobs	0		TEST FOR JOB ACCOUNTS																					
MeganSmiles	The Media Lies	0																							
bobsbabie1965	n/a	0																							
NavyWords	Navy Words	0																							
DushawnMoses	I love my God	1																							
nomarxism21	nomarxism2	0																							
tmj_wi_vets	WI Veteran Jobs	0																							
klasinz	TruthHunter	0																							
jsdr57	call me...JIM	0																							
Nottherealme1	B	0																							
caterinagrove	GRANDMA 2 ARMYMEDIC	1																							
toombstone	n/a	0																							
veritaz	God?Country?Israel	dne																							
novelpulse	n/a	0																							
FreedomFlagship	n/a	1																							
tmj_mt_vets	MT Veteran Jobs	0																							
Magade18	n/a	0																							
bubba_rffr	Kevin W	0																							
4TrumpMovement	*ShadowBanned for Muting Rude Liberals*	0																							
moenjonh	Moenjonh	0																							
graceisnotgiven	Grace is not Given	0																							
lulucabeza	Lulu Cabeza	0																							
ou812usa	Han Valen	1																							
tgpekarek	Tim	0																							
NuecesThankAVet	Thank A Veteran	0																							
BigThom61	Thomas	0																							
tessyto	n/a	0																							
ThatsMsSandy2U	Sandy Hamilton	0																							
